YEAR,MO,DY,HR,T2MDEW,T2MWET,T2M
2017,1,21,20,-2.37,-1.55,-0.72
2017,1,21,21,-2.68,-2.05,-1.42
2017,1,21,22,-2.82,-2.38,-1.95
2017,1,21,23,-3.01,-2.67,-2.33
2017,1,22,0,-3.27,-2.95,-2.63
2017,1,22,1,-3.5,-3.14,-2.79
2017,1,22,2,-3.71,-3.32,-2.93
2017,1,22,3,-3.87,-3.48,-3.08
2017,1,22,4,-3.99,-3.6,-3.21
2017,1,22,5,-4.1,-3.7,-3.29
2017,1,22,6,-4.2,-3.83,-3.45
2017,1,22,7,-4.01,-3.54,-3.08
2017,1,22,8,-2.96,-1.61,-0.27
2017,1,22,9,-1.92,0.16,2.24
2017,1,22,10,-1.71,1.73,5.16
2017,1,22,11,-1.8,2.55,6.9
2017,1,22,12,-1.89,3.07,8.02
2017,1,22,13,-1.73,3.5,8.72
2017,1,22,14,-1.38,3.82,9.02
2017,1,22,15,0.09,4.26,8.41
2017,1,22,16,1.19,3.27,5.36
2017,1,22,17,-1.43,0.44,2.32
2017,1,22,18,-1.79,-0.27,1.26
2017,1,22,19,-2.18,-0.85,0.49
2017,1,22,20,-2.49,-1.31,-0.13
2017,1,22,21,-3.06,-1.96,-0.87
2017,1,22,22,-3.74,-2.69,-1.64
2017,1,22,23,-4.2,-3.21,-2.22
2017,1,23,0,-4.43,-3.51,-2.6
2017,1,23,1,-4.47,-3.6,-2.72
2017,1,23,2,-4.25,-3.33,-2.42
2017,1,23,3,-3.81,-2.9,-1.98
2017,1,23,4,-3.56,-2.7,-1.85
2017,1,23,5,-3.6,-2.77,-1.94
2017,1,23,6,-3.63,-2.85,-2.06
2017,1,23,7,-3.45,-2.61,-1.77
2017,1,23,8,-2.6,-1.1,0.4
2017,1,23,9,-0.95,0.98,2.91
2017,1,23,10,1.29,3.77,6.25
2017,1,23,11,2.94,6.08,9.24
2017,1,23,12,3.23,6.76,10.29
2017,1,23,13,2.95,6.79,10.62
2017,1,23,14,2.51,6.53,10.55
2017,1,23,15,2.7,6.26,9.81
2017,1,23,16,2.9,5.2,7.51
2017,1,23,17,0.33,2.63,4.93
2017,1,23,18,0.01,1.67,3.34
2017,1,23,19,-0.81,0.73,2.26
2017,1,23,20,-1.77,0.14,2.05
2017,1,23,21,-2.06,-0.08,1.9
2017,1,23,22,-1.74,-0.02,1.72
2017,1,23,23,-1.3,0.2,1.69
2017,1,24,0,-1.17,0.28,1.74
2017,1,24,1,-0.81,0.62,2.06
2017,1,24,2,-0.57,0.81,2.2
2017,1,24,3,-0.16,1.14,2.44
2017,1,24,4,0.28,1.38,2.48
2017,1,24,5,0.7,1.51,2.32
2017,1,24,6,1,1.68,2.36
2017,1,24,7,1.12,1.8,2.47
2017,1,24,8,1.46,2.26,3.05
2017,1,24,9,2.37,3.27,4.18
2017,1,24,10,3.62,4.76,5.89
2017,1,24,11,4.72,6.1,7.48
2017,1,24,12,5.73,7.19,8.64
2017,1,24,13,6.6,7.9,9.19
2017,1,24,14,7.01,8.12,9.23
2017,1,24,15,6.98,7.69,8.4
2017,1,24,16,6.26,6.64,7.02
2017,1,24,17,5.23,5.55,5.87
2017,1,24,18,4.36,4.74,5.13
2017,1,24,19,4.06,4.47,4.87
2017,1,24,20,4.08,4.52,4.97
2017,1,24,21,4.09,4.56,5.03
2017,1,24,22,4.01,4.48,4.96
2017,1,24,23,3.93,4.46,4.98
2017,1,25,0,3.86,4.39,4.92
2017,1,25,1,3.81,4.3,4.8
2017,1,25,2,3.76,4.25,4.73
2017,1,25,3,3.73,4.2,4.67
2017,1,25,4,3.69,4.17,4.65
2017,1,25,5,3.68,4.19,4.72
2017,1,25,6,3.79,4.23,4.65
2017,1,25,7,3.96,4.33,4.71
2017,1,25,8,4.55,5.05,5.54
2017,1,25,9,5.3,5.93,6.57
2017,1,25,10,5.99,6.8,7.61
2017,1,25,11,6.25,7.17,8.1
2017,1,25,12,6.13,7.05,7.98
2017,1,25,13,5.68,6.55,7.42
2017,1,25,14,5.08,5.92,6.77
2017,1,25,15,4.47,5.34,6.22
2017,1,25,16,3.87,4.69,5.52
2017,1,25,17,2.97,3.82,4.67
2017,1,25,18,2.09,2.93,3.77
2017,1,25,19,1.4,2.15,2.9
2017,1,25,20,0.89,1.58,2.26
2017,1,25,21,0.53,1.19,1.85
2017,1,25,22,0.23,0.92,1.62
2017,1,25,23,-0.01,0.67,1.34
2017,1,26,0,-0.27,0.42,1.11
2017,1,26,1,-0.53,0.17,0.87
2017,1,26,2,-0.78,-0.06,0.66
2017,1,26,3,-1.06,-0.32,0.4
2017,1,26,4,-1.32,-0.59,0.14
2017,1,26,5,-1.57,-0.85,-0.12
2017,1,26,6,-1.87,-1.17,-0.46
2017,1,26,7,-2.02,-1.28,-0.53
2017,1,26,8,-1.63,-0.63,0.35
2017,1,26,9,-1.46,0.12,1.7
2017,1,26,10,-1.81,0.8,3.4
2017,1,26,11,-2.2,1.43,5.05
2017,1,26,12,-2.31,1.95,6.2
2017,1,26,13,-2.35,2.06,6.48
2017,1,26,14,-2.59,1.65,5.9
2017,1,26,15,-3,0.81,4.62
2017,1,26,16,-3.35,-0.42,2.5
2017,1,26,17,-3.86,-1.76,0.35
2017,1,26,18,-4.28,-2.42,-0.55
2017,1,26,19,-4.49,-2.89,-1.29
2017,1,26,20,-4.74,-3.4,-2.06
2017,1,26,21,-4.97,-3.85,-2.72
2017,1,26,22,-5.03,-4.1,-3.18
2017,1,26,23,-4.92,-4.2,-3.49
2017,1,27,0,-4.57,-3.99,-3.39
2017,1,27,1,-4.16,-3.45,-2.75
2017,1,27,2,-4.06,-3.24,-2.42
2017,1,27,3,-4.35,-3.43,-2.52
2017,1,27,4,-4.72,-3.79,-2.86
2017,1,27,5,-4.95,-4.08,-3.2
2017,1,27,6,-5.09,-4.31,-3.52
2017,1,27,7,-5.02,-4.17,-3.31
2017,1,27,8,-4.81,-3.38,-1.95
