YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M
2017,1,11,18,99.05,6.33,176.11,11.34
2017,1,11,19,99.06,6.66,176.7,11.41
2017,1,11,20,99.06,7.02,177.13,11.51
2017,1,11,21,99.05,7.26,177.72,11.63
2017,1,11,22,99.04,7.33,178.47,11.48
2017,1,11,23,98.99,7.25,176.67,11.26
2017,1,12,0,98.94,7.26,174.94,11.09
2017,1,12,1,98.9,7.28,175.2,11.13
2017,1,12,2,98.84,7.56,178.93,11.36
2017,1,12,3,98.76,7.48,183.35,11.13
2017,1,12,4,98.69,7.47,189.09,11.03
2017,1,12,5,98.65,7.76,197.83,11.33
2017,1,12,6,98.64,7.9,205.68,11.42
2017,1,12,7,98.63,7.58,208.78,10.99
2017,1,12,8,98.62,6.9,215.04,9.93
2017,1,12,9,98.68,6.09,254.05,8.58
2017,1,12,10,98.86,7.23,291.82,9.4
2017,1,12,11,98.94,6.2,308.86,7.84
2017,1,12,12,98.91,5.06,310.5,6.16
2017,1,12,13,98.92,5.06,307.6,6.09
2017,1,12,14,98.93,4.46,306.81,5.36
2017,1,12,15,98.97,3.16,308.48,4.17
2017,1,12,16,99.01,1.99,307.01,3.31
2017,1,12,17,99.07,1.99,303.63,2.95
2017,1,12,18,99.11,1.92,300,2.83
2017,1,12,19,99.14,1.87,299.77,2.73
2017,1,12,20,99.15,1.72,302.17,2.48
2017,1,12,21,99.16,1.51,307.23,2.15
2017,1,12,22,99.17,1.21,316.83,1.69
2017,1,12,23,99.16,0.77,330.83,1.07
2017,1,13,0,99.17,0.33,24.1,0.5
2017,1,13,1,99.19,0.66,102.24,0.84
2017,1,13,2,99.19,1.18,119.46,1.56
2017,1,13,3,99.16,1.63,128.4,2.22
2017,1,13,4,99.12,1.95,133.05,2.7
2017,1,13,5,99.13,2.15,135.59,3.07
2017,1,13,6,99.16,2.34,136.49,3.39
2017,1,13,7,99.18,2.48,133.85,3.78
2017,1,13,8,99.19,2.67,127.74,3.81
2017,1,13,9,99.19,3.18,122.17,3.42
2017,1,13,10,99.15,3.27,128.51,3.61
2017,1,13,11,99.06,3.16,135.2,3.48
2017,1,13,12,98.93,3.15,138.32,3.5
2017,1,13,13,98.83,3.24,140.78,3.67
2017,1,13,14,98.76,3.19,146.7,3.77
2017,1,13,15,98.72,2.52,155.26,3.62
2017,1,13,16,98.7,2.17,160.91,3.5
2017,1,13,17,98.7,2.4,158.44,3.51
2017,1,13,18,98.7,2.53,152.01,3.71
2017,1,13,19,98.66,2.76,147.84,4.14
2017,1,13,20,98.62,3.02,145.65,4.68
2017,1,13,21,98.56,3.21,143.6,5.21
2017,1,13,22,98.51,3.36,144.83,5.72
2017,1,13,23,98.46,3.55,148.58,6.44
2017,1,14,0,98.42,3.68,148.54,6.94
2017,1,14,1,98.4,3.72,148.31,7.27
2017,1,14,2,98.38,3.82,150.34,7.59
2017,1,14,3,98.31,4.04,154.33,7.9
2017,1,14,4,98.26,4.19,158.89,7.99
2017,1,14,5,98.24,4.57,163.02,8.43
2017,1,14,6,98.24,5.1,169.5,8.77
2017,1,14,7,98.24,5.18,173.59,8.82
2017,1,14,8,98.23,5.61,173.61,8.49
2017,1,14,9,98.23,6.05,172.88,8.44
2017,1,14,10,98.21,6.3,173.38,8.44
2017,1,14,11,98.14,6.46,173.75,8.1
2017,1,14,12,98.08,6.53,175.74,8.16
2017,1,14,13,98.04,6.41,179.51,8.03
2017,1,14,14,98.02,5.89,178.1,7.45
2017,1,14,15,98.02,5.29,174.74,7.32
2017,1,14,16,98.03,4.98,170.43,8.05
2017,1,14,17,98.06,5.04,169.82,8.83
2017,1,14,18,98.09,5.25,169.71,9.01
2017,1,14,19,98.11,5.46,167.69,9.06
2017,1,14,20,98.13,5.95,166.64,9.19
2017,1,14,21,98.13,6.13,166.97,9.32
2017,1,14,22,98.11,6.77,170.36,10.02
2017,1,14,23,98.09,6.18,169.95,9
2017,1,15,0,98.08,5.32,167.54,8.1
2017,1,15,1,98.09,4.84,166.84,7.66
2017,1,15,2,98.09,4.31,166.06,7.22
2017,1,15,3,98.07,4.61,170.15,7.39
2017,1,15,4,98.07,3.84,173.34,6.63
2017,1,15,5,98.12,2.84,180.47,5.71
2017,1,15,6,98.17,2.55,196.21,5.45
2017,1,15,7,98.23,2.67,215.97,5.5
2017,1,15,8,98.29,2.47,228.08,5.16
2017,1,15,9,98.37,2.91,230.55,4.69
2017,1,15,10,98.42,3.59,236.28,4.69
2017,1,15,11,98.43,3.98,237.68,4.96
2017,1,15,12,98.43,3.91,237.39,4.93
2017,1,15,13,98.44,3.39,236.75,4.4
2017,1,15,14,98.47,2.58,233.23,3.49
2017,1,15,15,98.48,1.67,227.65,2.61
2017,1,15,16,98.5,1.35,217.27,2.09
2017,1,15,17,98.55,1.26,205.77,1.76
2017,1,15,18,98.58,1.19,165.51,1.62
2017,1,15,19,98.59,1.65,136.15,2.29
2017,1,15,20,98.59,1.85,125.71,2.64
2017,1,15,21,98.58,2.07,109.87,3.05
2017,1,15,22,98.56,2.36,97.22,3.73
2017,1,15,23,98.49,2.61,91.71,4.78
2017,1,16,0,98.4,3.06,95.27,5.95
2017,1,16,1,98.3,4.32,102.43,6.75
2017,1,16,2,98.24,5.21,125.98,7.71
2017,1,16,3,98.17,6.38,162.83,9.84
2017,1,16,4,98.11,6.78,181.32,10.61
2017,1,16,5,98.09,7.09,181.07,10.9
2017,1,16,6,98.09,7.11,175.91,10.72
2017,1,16,7,98.1,7.11,177.04,10.6
2017,1,16,8,98.12,7.15,181.5,10.33
2017,1,16,9,98.15,7.4,185.51,10.19
2017,1,16,10,98.15,7.57,191.73,10.1
2017,1,16,11,98.13,7.05,200.96,9.29
2017,1,16,12,98.09,6.08,209.99,8
2017,1,16,13,98.09,5.27,219.83,6.91
2017,1,16,14,98.15,4.65,228.89,6.4
2017,1,16,15,98.23,3.61,230.8,5.49
2017,1,16,16,98.3,2.37,223.8,4.78
2017,1,16,17,98.36,2.56,212.43,4.38
2017,1,16,18,98.4,2.53,198.88,4.08
2017,1,16,19,98.42,2.52,183.73,3.98
2017,1,16,20,98.41,2.63,169.02,4.22
2017,1,16,21,98.4,2.83,163.01,4.77
2017,1,16,22,98.4,3.05,167.1,5.63
2017,1,16,23,98.39,3.22,174.01,6.45
2017,1,17,0,98.39,3.33,179.19,7.02
2017,1,17,1,98.42,3.43,182.48,7.41
2017,1,17,2,98.45,3.44,182.21,7.16
2017,1,17,3,98.45,3.41,179.34,6.99
2017,1,17,4,98.44,3.45,177.79,7.3
2017,1,17,5,98.44,3.41,175.66,7.27
2017,1,17,6,98.47,3.36,170.63,7.06
2017,1,17,7,98.48,3.39,164.07,7
2017,1,17,8,98.5,4.1,159.46,7.18
2017,1,17,9,98.53,5.32,157.73,7.5
2017,1,17,10,98.54,6.4,162.38,8.28
2017,1,17,11,98.5,6.7,169.04,8.63
2017,1,17,12,98.46,6.43,173.79,8.34
2017,1,17,13,98.44,5.73,173.26,7.44
2017,1,17,14,98.45,4.98,168.06,6.5
2017,1,17,15,98.47,3.88,158.76,5.72
2017,1,17,16,98.48,2.67,146.45,5.34
2017,1,17,17,98.5,2.79,137.27,5.74
2017,1,17,18,98.51,3.12,138.45,6.33
2017,1,17,19,98.52,3.21,143.91,6.5
2017,1,17,20,98.54,2.98,149.47,6.28
2017,1,17,21,98.56,2.84,153.93,6
2017,1,17,22,98.57,2.72,156.15,5.43
2017,1,17,23,98.57,2.68,158.07,4.76
2017,1,18,0,98.58,2.6,163.42,4.27
2017,1,18,1,98.62,2.5,171.39,4
2017,1,18,2,98.65,2.45,179.63,3.88
2017,1,18,3,98.65,2.31,181.74,3.61
2017,1,18,4,98.66,2.23,180.4,3.4
2017,1,18,5,98.7,2.12,173.22,3.15
2017,1,18,6,98.76,2.15,157.08,3.16
2017,1,18,7,98.82,2.24,145.65,3.36
2017,1,18,8,98.89,2.25,134.86,3.43
2017,1,18,9,98.96,2.82,134.66,3.16
2017,1,18,10,98.99,2.91,150.54,3.35
2017,1,18,11,98.98,2.78,162.99,3.22
2017,1,18,12,98.96,2.53,172.37,2.94
2017,1,18,13,98.97,2.18,177.74,2.54
2017,1,18,14,99.01,1.69,177.61,1.99
2017,1,18,15,99.05,1.08,161.96,1.37
2017,1,18,16,99.09,0.8,110.03,1.12
2017,1,18,17,99.15,1.46,82.61,2.03
2017,1,18,18,99.18,2.09,83.11,3.04
2017,1,18,19,99.19,2.47,86.56,3.75
2017,1,18,20,99.21,2.69,89.83,4.18
2017,1,18,21,99.23,2.86,92.66,4.56
2017,1,18,22,99.24,3.03,95.33,5
2017,1,18,23,99.23,3.09,97.7,5.27
2017,1,19,0,99.21,3.12,99.65,5.53
2017,1,19,1,99.2,3.16,101.42,5.8
2017,1,19,2,99.18,3.15,103.04,5.92
2017,1,19,3,99.16,3.13,105.77,5.82
2017,1,19,4,99.15,3.07,107.61,5.65
2017,1,19,5,99.18,3.09,108.25,5.79
2017,1,19,6,99.21,3.16,110.67,6.08
2017,1,19,7,99.24,3.44,114.53,6.16
2017,1,19,8,99.27,4.37,118.26,5.68
2017,1,19,9,99.3,4.46,121.6,5.14
2017,1,19,10,99.29,4.13,124.74,4.58
2017,1,19,11,99.26,3.66,137.69,4.19
2017,1,19,12,99.2,3.35,158.4,3.98
2017,1,19,13,99.17,3.04,172.31,3.7
2017,1,19,14,99.15,2.51,179.64,3.24
2017,1,19,15,99.13,1.56,175.12,2.48
2017,1,19,16,99.12,1.36,158.01,2.09
2017,1,19,17,99.14,1.47,155.48,2.18
2017,1,19,18,99.18,1.42,171.16,2.21
2017,1,19,19,99.22,1.35,193.07,2.13
2017,1,19,20,99.25,1.39,220.67,2.19
2017,1,19,21,99.29,1.36,240.5,2.09
2017,1,19,22,99.3,1.33,258.09,1.98
2017,1,19,23,99.3,1.4,270.96,2.03
2017,1,20,0,99.3,1.45,280.53,2.13
2017,1,20,1,99.33,1.52,295.51,2.29
2017,1,20,2,99.36,1.71,315.93,2.59
2017,1,20,3,99.38,1.84,334.63,3.05
2017,1,20,4,99.39,2.16,349.99,3.71
2017,1,20,5,99.42,2.98,2.25,4.17
2017,1,20,6,99.47,3.42,11.08,4.44
2017,1,20,7,99.5,3.68,17.05,4.61
2017,1,20,8,99.55,4.28,21.88,5.07
2017,1,20,9,99.6,4.75,26.48,5.49
2017,1,20,10,99.62,4.86,27.27,5.55
2017,1,20,11,99.59,4.67,24.81,5.29
2017,1,20,12,99.53,4.51,18.81,5.07
2017,1,20,13,99.49,4.67,12.18,5.25
2017,1,20,14,99.48,5.13,8.49,5.87
2017,1,20,15,99.48,5.54,7.13,6.73
2017,1,20,16,99.5,5.19,5.87,7.37
2017,1,20,17,99.56,5.07,9.22,7.93
2017,1,20,18,99.61,5.34,15.28,7.96
2017,1,20,19,99.64,5.53,24.1,8.18
2017,1,20,20,99.66,4.6,26.43,7.21
2017,1,20,21,99.68,4.14,29.52,6.75
2017,1,20,22,99.68,3.86,31.92,6.3
2017,1,20,23,99.65,3.52,33.51,5.72
2017,1,21,0,99.62,3.3,33.99,5.42
2017,1,21,1,99.61,3.11,33.93,5.2
2017,1,21,2,99.62,3.08,32.76,5.11
2017,1,21,3,99.6,3.11,32.17,5.13
2017,1,21,4,99.58,3.16,32.67,5.19
2017,1,21,5,99.58,3.25,35.41,5.33
2017,1,21,6,99.59,3.32,38.89,5.45
2017,1,21,7,99.62,3.43,41.03,5.33
2017,1,21,8,99.64,4.22,41.7,4.77
2017,1,21,9,99.66,4.25,42.69,4.73
2017,1,21,10,99.67,4.21,42.75,4.72
2017,1,21,11,99.63,3.9,38.34,4.42
2017,1,21,12,99.57,3.65,26.57,4.07
2017,1,21,13,99.53,3.73,15.32,4.12
2017,1,21,14,99.51,3.94,8.66,4.42
